version 4841
stamp 2022-02-28T19:09:25.840102+0000
last_osdmap_epoch 0
last_pg_scan 0
PG_STAT  OBJECTS  MISSING_ON_PRIMARY  DEGRADED  MISPLACED  UNFOUND  BYTES     OMAP_BYTES*  OMAP_KEYS*  LOG  DISK_LOG  STATE              STATE_STAMP                      VERSION  REPORTED  UP             UP_PRIMARY  ACTING         ACTING_PRIMARY  LAST_SCRUB  SCRUB_STAMP                      LAST_DEEP_SCRUB  DEEP_SCRUB_STAMP                 SNAPTRIMQ_LEN
5.b            1                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:03:15.324468+0000    496'6   556:187      [9,21,18]           9      [9,21,18]               9       496'6  2022-02-28T16:41:18.893555+0000            496'6  2022-02-28T16:41:18.893555+0000              0
12.5           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.754524+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
11.2           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:07:17.767187+0000      0'0    556:14         [7,12]           7         [7,12]               7         0'0  2022-02-28T19:07:16.233635+0000              0'0  2022-02-28T19:07:16.233635+0000              0
10.3           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:06:59.202038+0000      0'0    556:20      [20,12,6]          20      [20,12,6]              20         0'0  2022-02-28T19:06:57.676166+0000              0'0  2022-02-28T19:06:57.676166+0000              0
9.0            4                   0         0          0        0  16777216            0           0   21        21       active+clean  2022-02-28T19:04:19.150553+0000   279'21    556:68       [6,11,8]           6       [6,11,8]               6      279'21  2022-02-28T16:39:34.891122+0000              0'0  2022-02-23T18:14:54.888933+0000              0
8.1            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:09.991789+0000      0'0   556:229      [1,18,10]           1      [1,18,10]               1         0'0  2022-02-28T16:31:16.130589+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.e            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:08.991580+0000      0'0    556:47      [7,10,16]           7      [7,10,16]               7         0'0  2022-02-28T16:39:04.312153+0000              0'0  2022-02-23T17:15:16.707935+0000              0
6.f            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:07.888475+0000      0'0   556:358      [9,21,13]           9      [9,21,13]               9         0'0  2022-02-28T16:44:44.044413+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.d            0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:03:05.676754+0000    482'6   556:299     [19,13,20]          19     [19,13,20]              19       482'6  2022-02-28T16:31:56.138887+0000              0'0  2022-02-23T17:10:21.806214+0000              0
3.a            0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:10.441138+0000    482'7   556:543  [12,21,10,20]          12  [12,21,10,20]              12       482'7  2022-02-28T16:42:03.316688+0000            482'7  2022-02-28T16:42:03.316688+0000              0
2.b            1                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:04:17.641075+0000    473'6    556:57      [7,11,19]           7      [7,11,19]               7       473'6  2022-02-28T16:41:03.620877+0000            473'6  2022-02-28T16:41:03.620877+0000              0
5.c            0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:03:31.837866+0000    482'5    556:40       [7,9,21]           7       [7,9,21]               7       482'5  2022-02-28T16:43:26.215446+0000              0'0  2022-02-23T17:13:31.371583+0000              0
12.4           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.754622+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
11.3           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:07:17.696550+0000      0'0    556:17      [10,20,6]          10      [10,20,6]              10         0'0  2022-02-28T19:07:16.233635+0000              0'0  2022-02-28T19:07:16.233635+0000              0
10.2           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:06:59.163267+0000      0'0    556:17         [12,7]          12         [12,7]              12         0'0  2022-02-28T19:06:57.676166+0000              0'0  2022-02-28T19:06:57.676166+0000              0
9.1            2                   0         0          0        0   8388608            0           0   19        19       active+clean  2022-02-28T19:04:22.170948+0000   279'19    556:43      [10,2,12]          10      [10,2,12]              10      279'19  2022-02-28T16:38:25.163434+0000              0'0  2022-02-23T18:14:54.888933+0000              0
8.0            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:12.718499+0000      0'0    556:32      [11,18,7]          11      [11,18,7]              11         0'0  2022-02-28T16:32:39.849879+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.f            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:07.719646+0000      0'0   556:178      [21,8,13]          21      [21,8,13]              21         0'0  2022-02-28T16:33:43.117313+0000              0'0  2022-02-28T16:33:43.117313+0000              0
6.e            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.996898+0000      0'0    556:32       [11,7,9]          11       [11,7,9]              11         0'0  2022-02-28T16:38:33.263131+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.c            0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:03:20.955168+0000    482'5    556:53      [20,6,21]          20      [20,6,21]              20       482'5  2022-02-28T16:35:23.571522+0000              0'0  2022-02-23T17:10:21.806214+0000              0
3.b            0                   0         0          0        0         0            0           0   10        10       active+clean  2022-02-28T19:04:11.167846+0000   482'10   556:273   [13,19,10,8]          13   [13,19,10,8]              13      482'10  2022-02-28T16:40:59.631905+0000            329'4  2022-02-24T19:06:22.307675+0000              0
2.a            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:11.175573+0000      0'0    556:62      [19,6,10]          19      [19,6,10]              19         0'0  2022-02-28T16:31:47.291237+0000              0'0  2022-02-22T17:26:45.766466+0000              0
5.d            0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:04:09.992182+0000    482'6   556:258      [12,18,5]          12      [12,18,5]              12       482'6  2022-02-28T16:43:11.093741+0000            482'6  2022-02-28T16:43:11.093741+0000              0
12.7           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.754812+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
11.0           0                   0         0          0        0         0            0           0    0         0  undersized+peered  2022-02-28T19:07:17.299946+0000      0'0    556:13           [11]          11           [11]              11         0'0  2022-02-28T19:07:16.233635+0000              0'0  2022-02-28T19:07:16.233635+0000              0
10.1           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:06:59.167636+0000      0'0    556:20      [18,21,7]          18      [18,21,7]              18         0'0  2022-02-28T19:06:57.676166+0000              0'0  2022-02-28T19:06:57.676166+0000              0
9.2            2                   0         0          0        0   8388608            0           0   18        18       active+clean  2022-02-28T19:04:23.573699+0000   279'18    556:40     [11,15,18]          11     [11,15,18]              11      279'18  2022-02-28T16:33:50.703727+0000              0'0  2022-02-23T18:14:54.888933+0000              0
8.3            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.489804+0000      0'0    556:53       [20,8,5]          20       [20,8,5]              20         0'0  2022-02-28T16:35:44.382722+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.c            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:31.762212+0000      0'0    556:40      [6,16,13]           6      [6,16,13]               6         0'0  2022-02-28T16:34:39.087975+0000              0'0  2022-02-23T17:15:16.707935+0000              0
6.d            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:13.598565+0000      0'0    556:32     [11,20,12]          11     [11,20,12]              11         0'0  2022-02-28T16:42:56.838448+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.f            0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:21.696568+0000    482'4   556:287      [21,13,6]          21      [21,13,6]              21       482'4  2022-02-28T16:42:07.806342+0000              0'0  2022-02-24T18:54:36.549568+0000              0
3.8            0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:12.899791+0000    482'5    556:33   [11,9,21,18]          11   [11,9,21,18]              11       482'5  2022-02-28T16:36:00.474795+0000              0'0  2022-02-23T17:08:27.538171+0000              0
2.9            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.485730+0000      0'0   556:552      [13,10,8]          13      [13,10,8]              13         0'0  2022-02-28T16:39:50.755455+0000              0'0  2022-02-24T19:02:35.237015+0000              0
5.e            0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:04:10.489337+0000    482'1    556:47       [7,10,8]           7       [7,10,8]               7       482'1  2022-02-28T16:45:17.703244+0000              0'0  2022-02-24T19:03:10.387937+0000              0
12.6           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.815294+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
11.1           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:07:17.304352+0000      0'0    556:14        [19,11]          19        [19,11]              19         0'0  2022-02-28T19:07:16.233635+0000              0'0  2022-02-28T19:07:16.233635+0000              0
10.0           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:06:59.162914+0000      0'0    556:20      [10,7,20]          10      [10,7,20]              10         0'0  2022-02-28T19:06:57.676166+0000              0'0  2022-02-28T19:06:57.676166+0000              0
9.3            4                   0         0          0        0  16777216            0           0   22        22       active+clean  2022-02-28T19:04:28.958711+0000   494'22    556:80      [19,10,7]          19      [19,10,7]              19      494'22  2022-02-28T16:38:16.745510+0000           494'22  2022-02-28T16:38:16.745510+0000              0
8.2            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:21.058543+0000      0'0    556:38       [6,0,21]           6       [6,0,21]               6         0'0  2022-02-28T16:37:58.682311+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.d            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:09.825877+0000      0'0   556:404      [12,7,10]          12      [12,7,10]              12         0'0  2022-02-28T16:34:09.653281+0000              0'0  2022-02-23T17:15:16.707935+0000              0
6.c            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.877323+0000      0'0    556:38      [6,21,13]           6      [6,21,13]               6         0'0  2022-02-28T16:34:56.471225+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.e            0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:04:11.165567+0000    482'1    556:32     [10,18,19]          10     [10,18,19]              10       482'1  2022-02-28T16:41:18.821704+0000              0'0  2022-02-23T17:10:21.806214+0000              0
3.9            0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:03:20.852014+0000    482'8   556:203    [19,12,7,9]          19    [19,12,7,9]              19       482'8  2022-02-28T16:38:53.927783+0000              0'0  2022-02-23T17:08:27.538171+0000              0
2.8            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:17.826727+0000      0'0    556:34      [11,13,8]          11      [11,13,8]              11         0'0  2022-02-28T16:41:16.754974+0000              0'0  2022-02-28T16:41:16.754974+0000              0
5.f            0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:11.807846+0000    482'4    556:32     [11,20,21]          11     [11,20,21]              11       482'4  2022-02-28T16:34:42.454164+0000              0'0  2022-02-23T17:13:31.371583+0000              0
12.9           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.753867+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
9.c            1                   0         0          0        0   4194304            0           0   15        15       active+clean  2022-02-28T19:04:39.403724+0000   279'15    556:73     [18,21,11]          18     [18,21,11]              18      279'15  2022-02-28T16:33:41.793466+0000              0'0  2022-02-23T18:14:54.888933+0000              0
8.d            1                   0         0          0        0        70            0           0    1         1       active+clean  2022-02-28T19:03:12.059854+0000    266'1   556:229      [12,19,9]          12      [12,19,9]              12       266'1  2022-02-28T16:42:42.074462+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.2            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.772676+0000      0'0   556:388      [8,10,12]           8      [8,10,12]               8         0'0  2022-02-28T16:42:16.964869+0000              0'0  2022-02-24T18:45:52.807225+0000              0
6.3            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.326868+0000      0'0   556:391      [13,6,11]          13      [13,6,11]              13         0'0  2022-02-28T16:35:23.354885+0000              0'0  2022-02-28T16:35:23.354885+0000              0
4.1            0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:06.867729+0000    482'2   556:381      [13,20,8]          13      [13,20,8]              13       482'2  2022-02-28T16:33:27.139093+0000              0'0  2022-02-23T17:10:21.806214+0000              0
3.6            0                   0         0          0        0         0            0           0   15        15       active+clean  2022-02-28T19:04:10.323477+0000   482'15    556:61   [15,7,11,12]          15   [15,7,11,12]              15       329'5  2022-02-28T16:31:03.936543+0000              0'0  2022-02-23T17:08:27.538171+0000              0
2.7            1                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:17.652891+0000    260'2   556:476     [12,11,21]          12     [12,11,21]              12       260'2  2022-02-28T16:35:58.404171+0000              0'0  2022-02-22T17:25:40.803689+0000              0
5.0            0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:03:20.611063+0000    482'8   556:243       [21,8,7]          21       [21,8,7]              21       482'8  2022-02-28T16:39:36.762109+0000              0'0  2022-02-24T19:05:33.318385+0000              0
12.8           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.755441+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
9.d            5                   0         0          0        0  20971520            0           0   19        19       active+clean  2022-02-28T19:04:20.698455+0000   279'19    556:72       [18,9,6]          18       [18,9,6]              18      279'19  2022-02-28T16:41:18.024907+0000              0'0  2022-02-23T18:14:54.888933+0000              0
8.c            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.804686+0000      0'0    556:60     [21,11,20]          21     [21,11,20]              21         0'0  2022-02-28T16:32:53.794464+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.3            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:06.237370+0000      0'0   556:323     [13,18,19]          13     [13,18,19]              13         0'0  2022-02-28T16:33:23.191488+0000              0'0  2022-02-23T17:15:16.707935+0000              0
6.2            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.851673+0000      0'0   556:281       [19,7,9]          19       [19,7,9]              19         0'0  2022-02-28T16:34:23.608011+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.0            0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:10.810100+0000    482'8    556:53      [20,9,11]          20      [20,9,11]              20       482'8  2022-02-28T16:37:58.347415+0000              0'0  2022-02-24T19:06:24.169419+0000              0
3.7            0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:04:16.600734+0000    482'6   556:277   [12,8,11,18]          12   [12,8,11,18]              12       482'6  2022-02-28T16:36:12.605823+0000            329'1  2022-02-24T19:05:35.251947+0000              0
2.6            1                   0         0          0        0         0            0           0   39        39       active+clean  2022-02-28T19:03:26.942885+0000   482'39   556:552      [19,20,6]          19      [19,20,6]              19      482'39  2022-02-28T16:32:11.840054+0000              0'0  2022-02-22T17:25:40.803689+0000              0
5.1            0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:10.483896+0000    482'2    556:53       [4,8,10]           4       [4,8,10]               4       482'2  2022-02-28T16:33:22.204738+0000              0'0  2022-02-23T17:13:31.371583+0000              0
12.b           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.755261+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
9.e            5                   0         0          0        0  20971520            0           0   20        20       active+clean  2022-02-28T19:04:33.584692+0000   279'20    556:78      [18,9,10]          18      [18,9,10]              18      279'20  2022-02-28T16:43:37.287216+0000              0'0  2022-02-23T18:14:54.888933+0000              0
8.f            1                   0         0          0        0        22            0           0    1         1       active+clean  2022-02-28T19:04:11.014738+0000    266'1    556:36       [11,8,4]          11       [11,8,4]              11       266'1  2022-02-28T16:39:51.817882+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.0            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.441504+0000      0'0    556:32       [5,20,9]           5       [5,20,9]               5         0'0  2022-02-28T16:40:48.809949+0000              0'0  2022-02-23T17:15:16.707935+0000              0
6.1            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.254546+0000      0'0   556:241      [1,21,10]           1      [1,21,10]               1         0'0  2022-02-28T16:32:31.097448+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.3            0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:03:20.604402+0000    482'1    556:51       [21,7,8]          21       [21,7,8]              21       482'1  2022-02-28T16:39:26.024339+0000              0'0  2022-02-23T17:10:21.806214+0000              0
3.4            0                   0         0          0        0         0            0           0   11        11       active+clean  2022-02-28T19:04:10.767009+0000   482'11   556:517      [8,2,5,6]           8      [8,2,5,6]               8      482'11  2022-02-28T16:42:36.099875+0000            329'4  2022-02-24T19:03:19.363029+0000              0
2.5            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.942610+0000      0'0    556:53       [20,8,7]          20       [20,8,7]              20         0'0  2022-02-28T16:37:57.980164+0000              0'0  2022-02-22T17:25:40.803689+0000              0
5.2            0                   0         0          0        0         0            0           0    1         1       active+clean  2022-02-28T19:04:10.440974+0000    482'1    556:32     [10,20,12]          10     [10,20,12]              10       482'1  2022-02-28T16:35:13.398579+0000              0'0  2022-02-23T17:13:31.371583+0000              0
12.e           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.815766+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
9.b            3                   0         0          0        0  12582912            0           0   25        25       active+clean  2022-02-28T19:04:33.744913+0000   482'25    556:43      [10,6,20]          10      [10,6,20]              10      482'25  2022-02-28T16:31:40.589218+0000           482'25  2022-02-28T16:31:40.589218+0000              0
8.a            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:21.700022+0000      0'0   556:255       [13,8,7]          13       [13,8,7]              13         0'0  2022-02-28T16:33:46.113369+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.5            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:08.976562+0000      0'0    556:47       [7,9,10]           7       [7,9,10]               7         0'0  2022-02-28T16:34:05.576441+0000              0'0  2022-02-23T17:15:16.707935+0000              0
6.4            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.352228+0000      0'0    556:38       [7,16,8]           7       [7,16,8]               7         0'0  2022-02-28T16:39:05.349027+0000              0'0  2022-02-24T19:05:27.049056+0000              0
4.6            0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:03:32.201011+0000    482'5    556:40       [7,8,18]           7       [7,8,18]               7       482'5  2022-02-28T16:39:30.662733+0000              0'0  2022-02-23T17:10:21.806214+0000              0
2.0            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:21.384894+0000      0'0   556:141      [12,6,19]          12      [12,6,19]              12         0'0  2022-02-28T16:35:54.530718+0000              0'0  2022-02-22T17:26:41.154697+0000              0
3.1            0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:10.758199+0000    482'8   556:446   [13,8,21,11]          13   [13,8,21,11]              13       482'8  2022-02-28T16:36:24.095353+0000              0'0  2022-02-23T17:08:27.538171+0000              0
5.7            1                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:12.457101+0000    482'3    556:36       [5,8,18]           5       [5,8,18]               5       263'2  2022-02-28T16:31:18.720184+0000              0'0  2022-02-23T17:13:31.371583+0000              0
12.d           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.815498+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
9.8            7                   0         0          0        0  29360128            0           0   22        22       active+clean  2022-02-28T19:05:00.321923+0000   279'22    556:87      [19,7,20]          19      [19,7,20]              19      279'22  2022-02-28T16:41:32.264571+0000              0'0  2022-02-23T18:14:54.888933+0000              0
8.9            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:04.754602+0000      0'0   556:175      [13,19,9]          13      [13,19,9]              13         0'0  2022-02-28T16:32:15.310285+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.6            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:06.751035+0000      0'0   556:321      [8,19,20]           8      [8,19,20]               8         0'0  2022-02-28T16:40:28.841518+0000              0'0  2022-02-23T17:15:16.707935+0000              0
6.7            1                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:10.358650+0000    261'2    556:56       [6,21,5]           6       [6,21,5]               6       261'2  2022-02-28T16:32:01.120455+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.5            0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:09.166626+0000    482'2    556:46      [6,21,10]           6      [6,21,10]               6       482'2  2022-02-28T16:32:27.918058+0000              0'0  2022-02-23T17:10:21.806214+0000              0
1.0           35                   0         0          0        0         0            0           0   85        85       active+clean  2022-02-28T19:04:51.677010+0000   482'85   556:340      [13,19,9]          13      [13,19,9]              13      482'85  2022-02-28T16:36:55.848441+0000            88'28  2022-02-23T01:25:10.040655+0000              0
2.3            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:09.819451+0000      0'0    556:62      [18,10,7]          18      [18,10,7]              18         0'0  2022-02-28T16:38:19.957379+0000              0'0  2022-02-28T16:38:19.957379+0000              0
3.2            0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:09.345676+0000    482'4    556:33  [10,21,14,12]          10  [10,21,14,12]              10       482'4  2022-02-28T16:32:06.867547+0000              0'0  2022-02-23T17:08:27.538171+0000              0
5.4            0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:21.234672+0000    482'4    556:38       [7,9,18]           7       [7,9,18]               7       482'4  2022-02-28T16:33:53.662009+0000              0'0  2022-02-23T17:13:31.371583+0000              0
12.f           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.754908+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
9.a            5                   0         0          0        0  20971520            0           0   20        20       active+clean  2022-02-28T19:04:39.380527+0000   279'20    556:67      [18,8,13]          18      [18,8,13]              18      279'20  2022-02-28T16:34:53.525186+0000              0'0  2022-02-23T18:14:54.888933+0000              0
8.b            1                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:03:20.410154+0000    473'5   556:272      [12,14,7]          12      [12,14,7]              12       473'5  2022-02-28T16:39:29.932216+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.4            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:04.783241+0000      0'0    556:44      [18,9,19]          18      [18,9,19]              18         0'0  2022-02-28T16:34:14.731491+0000              0'0  2022-02-23T17:15:16.707935+0000              0
6.5            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:07.729058+0000      0'0   556:128      [0,20,21]           0      [0,20,21]               0         0'0  2022-02-28T16:31:11.891756+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.7            1                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:17.708521+0000    482'4    556:38       [10,6,8]          10       [10,6,8]              10       482'4  2022-02-28T16:32:15.837445+0000            482'4  2022-02-28T16:32:15.837445+0000              0
2.1            1                   0         0          0        0       505            0           0    6         6       active+clean  2022-02-28T19:03:22.965718+0000    371'6   556:268       [13,6,8]          13       [13,6,8]              13       371'6  2022-02-28T16:36:59.812183+0000              0'0  2022-02-22T17:25:40.803689+0000              0
3.0            0                   0         0          0        0         0            0           0   18        18       active+clean  2022-02-28T19:03:08.707465+0000   482'18   556:222   [8,20,21,12]           8   [8,20,21,12]               8      482'18  2022-02-28T16:40:59.745993+0000              0'0  2022-02-23T17:08:27.538171+0000              0
5.6            0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:11.003632+0000    482'5    556:32      [11,13,7]          11      [11,13,7]              11       482'5  2022-02-28T16:41:19.557006+0000            482'5  2022-02-28T16:41:19.557006+0000              0
12.c           0                   0         0          0        0         0            0           0    0         0  active+undersized  2022-02-28T19:08:45.754693+0000      0'0    557:24     [19,20,11]          19     [19,20,11]              19         0'0  2022-02-28T19:08:08.312889+0000              0'0  2022-02-28T19:08:08.312889+0000              0
9.9            4                   0         0          0        0  16777216            0           0   18        18       active+clean  2022-02-28T19:03:04.761389+0000   450'18   556:261      [12,0,19]          12      [12,0,19]              12      450'18  2022-02-28T16:36:35.600394+0000           450'18  2022-02-28T16:36:35.600394+0000              0
8.8            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:11.622536+0000      0'0    556:32      [11,6,20]          11      [11,6,20]              11         0'0  2022-02-28T16:43:48.217315+0000              0'0  2022-02-23T18:14:53.864535+0000              0
7.7            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:31.905346+0000      0'0    556:40       [6,21,8]           6       [6,21,8]               6         0'0  2022-02-28T16:36:28.276054+0000              0'0  2022-02-28T16:36:28.276054+0000              0
6.6            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:06.814734+0000      0'0   556:269      [9,21,18]           9      [9,21,18]               9         0'0  2022-02-28T16:37:01.082667+0000              0'0  2022-02-23T17:14:19.618385+0000              0
4.4            0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:04.777266+0000    482'4    556:44      [17,0,18]          17      [17,0,18]              17       482'4  2022-02-28T16:35:19.161414+0000              0'0  2022-02-23T17:10:21.806214+0000              0
3.3            0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:03:20.947354+0000    482'7    556:56    [20,21,9,6]          20    [20,21,9,6]              20       482'7  2022-02-28T16:32:41.118129+0000              0'0  2022-02-23T17:08:27.538171+0000              0
2.2            0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.933466+0000      0'0    556:53       [19,9,6]          19       [19,9,6]              19         0'0  2022-02-28T16:39:55.840833+0000              0'0  2022-02-22T17:25:40.803689+0000              0
5.5            0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:08.964078+0000    482'2   556:348      [9,10,16]           9      [9,10,16]               9       482'2  2022-02-28T16:44:53.036860+0000              0'0  2022-02-23T17:13:31.371583+0000              0
