version 4841
stamp 2022-02-28T19:09:25.840102+0000
last_osdmap_epoch 0
last_pg_scan 0
PG_STAT  OBJECTS  MISSING_ON_PRIMARY  DEGRADED  MISPLACED  UNFOUND  BYTES     OMAP_BYTES*  OMAP_KEYS*  LOG  DISK_LOG  STATE              STATE_STAMP                      VERSION  REPORTED  UP             UP_PRIMARY  ACTING         ACTING_PRIMARY  LAST_SCRUB  SCRUB_STAMP                      LAST_DEEP_SCRUB  DEEP_SCRUB_STAMP                 SNAPTRIMQ_LEN
5.f0           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:06:40.527634+0000    482'3    556:69      [21,14,7]          21      [21,14,7]              21       482'3  2022-02-28T16:35:21.547445+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.f6           0                   0         0          0        0         0            0           0   16        16       active+clean  2022-02-28T19:04:11.168965+0000   482'16    556:49   [7,13,10,19]           7   [7,13,10,19]               7       329'7  2022-02-28T16:31:28.898461+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.f1           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:07.750784+0000    482'4   556:221      [12,21,9]          12      [12,21,9]              12       482'4  2022-02-28T16:35:59.444220+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.f0           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.738872+0000      0'0   556:380       [12,6,9]          12       [12,6,9]              12         0'0  2022-02-28T16:31:15.749641+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.f3           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:11.621679+0000    482'7    556:32     [11,20,21]          11     [11,20,21]              11       482'7  2022-02-28T16:43:43.902930+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.f5           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:03:32.961325+0000    482'7    556:41   [6,18,12,21]           6   [6,18,12,21]               6       482'7  2022-02-28T16:32:04.835658+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.f2           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:10.496443+0000    482'2    556:53      [20,8,10]          20      [20,8,10]              20       482'2  2022-02-28T16:40:16.744854+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.f1           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:21.204749+0000      0'0   556:364      [12,7,19]          12      [12,7,19]              12         0'0  2022-02-28T16:35:50.390148+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.f2           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:20.666238+0000    482'2   556:243      [13,20,7]          13      [13,20,7]              13       482'2  2022-02-28T16:37:02.838161+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.f4           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:04:11.179886+0000    482'3    556:87    [19,6,20,5]          19    [19,6,20,5]              19       482'3  2022-02-28T16:40:57.170120+0000              0'0  2022-02-23T17:08:27.538171+0000              0
